City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,victoria,90,BN,1531423800,94,5.28,115.24,77.0,8.41
1,punta arenas,20,CL,1531425600,80,-53.16,-70.91,37.4,21.92
2,avarua,75,CK,1531425600,78,-21.21,-159.78,75.2,10.29
3,sao filipe,20,CV,1531427603,90,14.9,-24.5,78.84,5.28
4,chapais,1,CA,1531425600,41,49.78,-74.86,75.2,4.7
5,hithadhoo,88,MV,1531427604,100,-0.6,73.08,76.77,6.29
6,goderich,24,CA,1531427604,51,43.74,-81.71,79.65,7.74
7,new norfolk,0,AU,1531425600,86,-42.78,147.06,37.4,6.93
8,ketchikan,90,US,1531425360,71,55.34,-131.65,57.2,6.93
9,hilo,90,US,1531426440,78,19.71,-155.08,80.6,6.93
10,mataura,12,NZ,1531427604,72,-46.19,168.86,22.14,2.89
11,ushuaia,75,AR,1531425600,74,-54.81,-68.31,35.6,17.22
12,vaini,92,IN,1531427605,98,15.34,74.49,70.56,9.37
13,khatanga,88,RU,1531427605,80,71.98,102.47,44.82,9.82
14,mugango,44,TZ,1531427605,95,-1.69,33.7,67.68,2.71
15,kapaa,40,US,1531425360,69,22.08,-159.32,80.6,17.22
16,tuburan,90,PH,1531425600,78,10.73,123.82,80.6,4.7
17,gambela,88,ET,1531427606,86,8.25,34.59,62.82,2.26
18,port alfred,80,ZA,1531427606,68,-33.59,26.89,71.37,11.43
19,mabaruma,48,GY,1531427606,82,8.2,-59.78,82.71,4.9
20,iqaluit,75,CA,1531425600,71,63.75,-68.52,51.8,12.75
21,vao,8,EE,1531427606,86,59.1,26.19,59.85,2.59
22,rikitea,80,PF,1531427607,100,-23.12,-134.97,72.54,12.44
23,chuy,0,UY,1531427607,80,-33.69,-53.46,53.19,9.26
24,tuatapere,24,NZ,1531427607,100,-46.13,167.69,43.02,12.77
25,kahului,40,US,1531425360,74,20.89,-156.47,82.4,19.46
26,lebu,68,ET,1531427607,94,8.96,38.73,51.21,2.82
27,busselton,48,AU,1531427608,100,-33.64,115.35,61.02,21.61
28,albany,40,US,1531425240,30,42.65,-73.75,84.2,3.36
29,qaanaaq,92,GL,1531427608,98,77.48,-69.36,33.39,3.22
30,porto novo,0,BR,1531425600,48,-23.68,-45.44,66.2,4.7
31,wladyslawowo,75,PL,1531425600,100,54.79,18.4,62.6,2.24
32,matay,0,EG,1531427609,45,28.42,30.79,79.2,10.94
33,tomatlan,24,MX,1531427609,70,19.93,-105.25,84.69,3.6
34,launceston,0,AU,1531425600,100,-41.43,147.14,26.6,5.82
35,bredasdorp,64,ZA,1531425600,71,-34.53,20.04,51.8,10.29
36,atuona,0,PF,1531427610,100,-9.8,-139.03,79.74,22.06
37,mount isa,0,AU,1531425600,27,-20.73,139.49,51.8,9.17
38,ostrovnoy,68,RU,1531427610,50,68.05,39.51,62.19,10.16
39,saint anthony,1,US,1531425360,26,43.97,-111.68,82.4,9.17
40,east london,20,ZA,1531422000,82,-33.02,27.91,66.2,10.29
41,bida,68,NG,1531427611,97,9.08,6.02,73.53,3.0
42,hasaki,75,JP,1531425600,100,35.73,140.83,75.2,4.7
43,chervone,0,UA,1531427611,61,47.06,32.37,77.22,7.25
44,isangel,64,VU,1531427611,100,-19.55,169.27,74.61,4.56
45,eureka,90,US,1531425300,93,40.8,-124.16,66.2,4.7
46,luderitz,0,NA,1531427612,94,-26.65,15.16,55.98,18.7
47,tasiilaq,75,GL,1531425000,75,65.61,-37.64,44.6,3.36
48,talnakh,20,RU,1531427612,69,69.49,88.39,45.09,9.53
49,hofn,90,IS,1531422000,93,64.25,-15.21,51.8,10.29
50,lorengau,88,PG,1531427613,100,-2.02,147.27,78.12,9.08
51,flin flon,90,CA,1531425600,50,54.77,-101.88,78.8,12.75
52,jamestown,8,AU,1531427613,74,-33.21,138.6,27.45,1.21
53,husavik,0,CA,1531427614,60,50.56,-96.99,82.35,19.71
54,kolyshley,48,RU,1531427614,58,52.7,44.54,71.55,7.63
55,marihatag,92,PH,1531427614,100,8.8,126.3,83.52,11.65
56,kurumkan,92,RU,1531427615,98,54.33,110.32,47.52,2.1
57,jieshi,88,CN,1531427615,100,22.82,115.83,78.12,8.52
58,sorong,80,ID,1531427615,100,-0.86,131.25,78.75,10.87
59,geraldton,90,CA,1531425600,93,49.72,-86.95,60.8,13.87
60,bodden town,20,KY,1531425600,66,19.28,-81.25,89.6,11.41
61,palu,64,ID,1531427616,91,-0.9,119.87,64.44,1.7
62,san jose,92,PH,1531427412,100,15.79,120.99,71.19,2.33
63,ribeira grande,20,PT,1531425600,60,38.52,-28.7,71.6,8.05
64,bluff,0,AU,1531427617,81,-23.58,149.07,39.87,4.56
65,puerto ayora,20,EC,1531425600,54,-0.74,-90.35,82.4,20.8
66,hobart,0,AU,1531425600,86,-42.88,147.33,37.4,6.93
67,cabo san lucas,5,MX,1531424580,46,22.89,-109.91,89.6,11.41
68,dunedin,0,NZ,1531427549,81,-45.87,170.5,21.42,3.78
69,barabai,48,ID,1531427618,91,-2.59,115.38,72.72,0.81
70,basco,1,US,1531426500,49,40.33,-91.2,91.4,10.29
71,ponta do sol,12,BR,1531427618,45,-20.63,-46.0,67.95,6.73
72,petropavlovka,0,RU,1531427618,85,50.61,105.32,43.11,2.55
73,severo-kurilsk,88,RU,1531427619,92,50.68,156.12,51.03,7.58
74,ajaccio,0,FR,1531425600,64,41.93,8.74,75.2,3.36
75,cape town,75,ZA,1531425600,81,-33.93,18.42,51.8,8.05
76,shimoda,20,JP,1531427619,100,34.7,138.93,75.15,5.12
77,tuktoyaktuk,40,CA,1531425600,70,69.44,-133.03,46.4,4.7
78,tutoia,20,BR,1531425600,74,-2.76,-42.27,84.2,11.41
79,pedernales,20,EC,1531427619,72,0.07,-80.05,82.8,7.74
80,toktogul,24,KG,1531427620,90,41.87,72.95,46.8,2.37
81,castro,92,CL,1531427620,99,-42.48,-73.76,50.49,6.51
82,caconda,0,AO,1531427620,42,-13.73,15.06,53.19,6.8
83,beyneu,68,KZ,1531427621,24,45.32,55.19,83.52,6.8
84,severobaykalsk,68,RU,1531427489,99,55.65,109.32,53.01,2.59
85,chokurdakh,92,RU,1531427621,98,70.62,147.9,42.48,8.41
86,morondava,8,MG,1531427621,98,-20.3,44.28,67.68,4.05
87,ledyard,1,US,1531426500,50,41.44,-72.02,84.2,8.05
88,baherden,0,TM,1531427621,29,38.44,57.43,80.46,5.61
89,yellowknife,90,CA,1531425600,72,62.45,-114.38,64.4,12.75
90,barrow,8,AR,1531427622,47,-38.31,-60.23,56.79,15.9
91,los llanos de aridane,20,ES,1531425600,68,28.66,-17.92,71.6,17.22
92,hovd,0,NO,1531426800,82,63.83,10.7,59.0,16.11
93,westport,75,IE,1531422000,82,53.8,-9.52,57.2,9.17
94,wajid,92,SO,1531427623,57,3.81,43.25,78.21,15.46
95,esperance,40,TT,1531425600,88,10.24,-61.45,80.6,10.29
96,cap malheureux,40,MU,1531425600,60,-19.98,57.61,71.6,9.17
97,havre-saint-pierre,1,CA,1531425600,63,50.23,-63.6,60.8,19.46
98,bethel,75,US,1531425180,71,60.79,-161.76,51.8,6.93
99,vysokogornyy,92,RU,1531427624,81,50.1,139.13,59.04,3.0
100,lwowek slaski,92,PL,1531427625,99,51.11,15.59,58.5,9.82
101,san borja,8,BO,1531427625,62,-14.86,-66.75,75.69,2.48
102,itaberaba,12,BR,1531427625,59,-12.52,-40.31,77.49,11.83
103,hermanus,76,ZA,1531427625,86,-34.42,19.24,49.77,8.37
104,cabedelo,40,BR,1531425600,78,-6.97,-34.84,77.0,11.41
105,kodiak,1,US,1531425180,50,39.95,-94.76,96.8,8.05
106,opuwo,0,NA,1531427626,56,-18.06,13.84,47.25,2.1
107,namatanai,44,PG,1531427626,100,-3.66,152.44,82.26,10.09
108,wahpeton,1,US,1531426560,51,46.27,-96.61,80.6,4.7
109,pangnirtung,90,CA,1531425600,71,66.15,-65.72,50.0,2.24
110,portland,1,US,1531425360,35,45.52,-122.67,91.4,11.41
111,arraial do cabo,40,BR,1531425600,60,-22.97,-42.02,71.6,4.7
112,skjervoy,75,NO,1531426800,93,70.03,20.97,48.2,8.05
113,neuquen,0,AR,1531425600,44,-38.95,-68.06,60.8,2.24
114,nikolskoye,0,RU,1531425600,49,59.7,30.79,69.8,2.24
115,fukue,75,JP,1531425600,88,35.03,136.69,78.8,4.7
116,curico,92,CL,1531425600,62,-34.98,-71.23,55.4,8.05
117,berlevag,75,NO,1531425000,100,70.86,29.09,48.2,4.7
118,bulgan,44,MN,1531427629,84,48.81,103.53,45.72,2.59
119,dikson,68,RU,1531427629,100,73.51,80.55,37.62,16.2
120,aklavik,75,CA,1531425600,66,68.22,-135.01,55.4,2.24
121,yanggu,76,CN,1531427629,95,25.39,116.32,72.45,2.21
122,awbari,0,LY,1531427629,15,26.59,12.77,87.12,14.18
123,yumen,0,CN,1531427630,33,40.29,97.04,64.89,8.93
124,saskylakh,92,RU,1531427630,98,71.97,114.09,46.08,11.95
125,seybaplaya,40,MX,1531424460,66,19.65,-90.67,87.8,11.41
126,san cristobal,75,EC,1531425600,52,-0.39,-78.55,64.4,21.92
127,mahibadhoo,20,MV,1531427631,98,3.78,72.97,84.51,13.62
128,aswan,0,EG,1531422000,16,24.09,32.9,93.2,9.17
129,nicoya,40,CR,1531425600,49,10.15,-85.45,93.2,5.82
130,kemalpasa,0,TR,1531425000,45,38.43,27.42,84.2,17.22
131,mangrol,80,IN,1531427632,97,25.33,76.51,74.79,3.6
132,fortuna,20,ES,1531425600,83,38.18,-1.13,78.8,8.05
133,cherskiy,32,RU,1531427569,39,68.75,161.3,62.19,11.83
134,maragogi,92,BR,1531427632,82,-9.01,-35.22,75.96,8.59
135,kimparana,8,ML,1531427633,67,12.83,-4.92,81.09,5.73
136,kaitangata,0,NZ,1531427633,66,-46.28,169.85,26.91,6.4
137,saldanha,0,PT,1531427633,77,41.42,-6.55,66.33,3.56
138,tual,80,ID,1531427633,100,-5.67,132.75,79.38,16.64
139,bathsheba,20,BB,1531425600,69,13.22,-59.52,82.4,19.46
140,saint-philippe,1,CA,1531425600,39,45.36,-73.48,80.6,6.93
141,tiksi,80,RU,1531427634,76,71.64,128.87,51.12,10.16
142,pochutla,75,MX,1531424520,49,15.74,-96.47,93.2,10.04
143,saint-augustin,0,FR,1531425600,64,44.83,-0.61,71.6,8.05
144,sungaipenuh,44,ID,1531427635,96,-2.08,101.38,64.44,1.36
145,broome,75,GB,1531426800,82,52.47,1.45,62.6,5.82
146,carnarvon,88,ZA,1531427635,41,-30.97,22.13,58.95,13.62
147,miandrivazo,68,MG,1531427635,68,-19.53,45.46,62.37,1.21
148,georgetown,40,GY,1531425600,59,6.8,-58.16,89.6,13.87
149,soluno-dmitriyevskoye,40,RU,1531425600,73,44.4,42.73,75.2,11.18
150,srimushnam,68,IN,1531427636,62,11.4,79.42,81.45,13.89
151,midlothian,90,US,1531427220,66,32.48,-96.99,98.6,18.34
152,sobolevo,88,RU,1531427636,80,54.43,31.9,66.87,5.35
153,buala,100,SB,1531427637,92,-8.15,159.59,81.45,10.04
154,bozeman,1,US,1531426500,44,45.68,-111.04,78.8,3.36
155,thompson,75,CA,1531425600,65,55.74,-97.86,77.0,8.05
156,comodoro rivadavia,40,AR,1531425600,62,-45.87,-67.48,53.6,8.05
157,vuyyuru,100,IN,1531427637,96,16.37,80.85,76.23,18.7
158,lichuan,92,CN,1531427638,99,30.3,108.94,67.23,1.7
159,tabou,92,CI,1531427638,100,4.42,-7.36,78.3,12.55
160,zhigansk,0,RU,1531427638,63,66.77,123.37,55.44,3.11
161,flic en flac,40,MU,1531425600,60,-20.27,57.36,71.6,9.17
162,roald,90,NO,1531426800,100,62.58,6.12,57.2,10.29
163,alcacer do sal,20,PT,1531425600,72,38.37,-8.51,71.6,9.17
164,norman wells,75,CA,1531425600,67,65.28,-126.83,57.2,18.34
165,henties bay,0,NA,1531427639,93,-22.12,14.28,58.95,7.25
166,bismarck,1,US,1531426500,51,46.81,-100.78,84.2,6.93
167,kenai,1,US,1531425360,62,60.55,-151.26,60.8,9.17
168,ashcroft,0,AU,1531425600,70,-33.91,150.9,44.6,8.05
169,moose factory,1,CA,1531425600,37,51.26,-80.61,84.2,13.87
170,manoel urbano,0,BR,1531427640,57,-8.84,-69.26,82.35,2.33
171,mayumba,68,GA,1531427640,98,-3.44,10.65,71.01,5.12
172,salalah,90,OM,1531425000,88,17.01,54.1,80.6,5.82
173,sao joao da barra,75,BR,1531425600,68,-21.64,-41.05,69.8,9.82
174,assare,68,BR,1531427641,40,-6.87,-39.88,84.6,5.23
175,bontang,68,ID,1531427641,99,0.12,117.47,80.55,9.6
176,port elizabeth,1,US,1531425360,37,39.31,-74.98,84.2,13.87
177,lazurne,0,UA,1531427642,57,46.77,34.99,76.68,7.81
178,butaritari,80,KI,1531427642,100,3.07,172.79,81.81,5.61
179,vila velha,20,BR,1531425600,74,-3.71,-38.6,80.6,17.22
180,banda aceh,64,ID,1531427642,86,5.56,95.32,77.76,5.01
181,makakilo city,40,US,1531425420,51,21.35,-158.09,84.2,9.17
182,kaihua,0,CN,1531427643,89,29.14,118.41,73.35,3.22
183,dekar,56,BW,1531427643,49,-21.53,21.93,58.59,5.73
184,abha,5,SA,1531425600,46,18.22,42.5,73.4,4.7
185,krasnoarmeysk,0,RU,1531425600,77,56.12,38.15,64.4,4.47
186,tigil,36,RU,1531427644,81,57.8,158.67,54.0,2.33
187,anchorage,20,US,1531425360,55,61.22,-149.89,60.8,2.04
188,alta floresta,0,BR,1531422000,36,-9.87,-56.08,91.4,4.7
189,alofi,75,NU,1531425600,83,-19.06,-169.92,73.4,11.41
190,santa marta,20,CO,1531425600,42,11.24,-74.21,98.6,13.87
191,caravelas,88,BR,1531427645,100,-17.73,-39.27,73.71,18.81
192,varena,75,LT,1531425000,82,54.21,24.57,68.0,6.93
193,caranavi,8,BO,1531427646,63,-15.83,-67.57,69.57,2.04
194,carolina,40,PR,1531425360,70,18.38,-65.96,84.2,18.34
195,olmos,0,PE,1531427647,67,-5.99,-79.75,77.67,3.33
196,houston,75,US,1531425300,55,29.76,-95.37,95.0,3.36
197,sitka,20,US,1531427647,31,37.17,-99.65,97.92,16.13
198,thinadhoo,92,MV,1531427647,100,0.53,72.93,79.02,10.31
199,xinzhou,92,CN,1531427647,98,38.41,112.73,64.53,2.71
200,carlsbad,0,CZ,1531425600,82,50.23,12.87,62.6,5.82
201,bermejo,88,AR,1531427648,64,-22.73,-64.34,63.09,1.99
202,kamaishi,92,JP,1531427648,100,39.28,141.86,67.95,3.04
203,leningradskiy,0,RU,1531427648,61,69.38,178.42,48.42,10.42
204,tabas,0,IR,1531427648,15,33.6,56.92,79.11,9.15
205,presidente medici,0,BR,1531427649,50,-11.18,-61.9,84.87,2.48
206,poum,0,MK,1531427649,93,41.28,20.71,58.14,1.25
207,la ronge,40,CA,1531425600,44,55.1,-105.3,80.6,9.17
208,cidreira,0,BR,1531427649,84,-30.17,-50.22,55.17,3.04
209,neyshabur,0,IR,1531427649,38,36.21,58.79,63.36,5.12
210,trinidad,75,UY,1531425600,77,-33.52,-56.9,59.0,9.17
211,rundu,0,NA,1531427650,49,-17.91,19.77,54.99,7.74
212,thalgau,40,AT,1531425000,72,47.84,13.25,64.4,2.24
213,palora,80,EC,1531427650,93,-1.7,-77.97,62.82,2.48
214,nishihara,75,JP,1531425600,83,35.74,139.53,78.8,4.38
215,trelew,0,AR,1531427497,39,-43.25,-65.31,58.32,20.11
216,mugur-aksy,20,RU,1531427650,77,50.38,90.44,44.64,1.99
217,chilca,40,PE,1531423800,17,-13.22,-72.34,62.6,11.41
218,hobyo,0,SO,1531427651,62,5.35,48.53,80.1,25.86
219,ludvika,12,SE,1531425000,52,60.15,15.18,69.8,4.7
220,port hardy,20,CA,1531425600,63,50.7,-127.42,64.4,19.46
221,guerrero negro,8,MX,1531427651,50,27.97,-114.04,82.62,9.37
222,elizabeth city,75,US,1531426500,69,36.3,-76.22,84.2,10.65
223,bonthe,92,SL,1531427652,100,7.53,-12.5,72.81,4.05
224,ossora,48,RU,1531427652,95,59.24,163.07,50.58,1.1
225,rongcheng,92,CN,1531427652,92,37.16,122.42,76.05,12.06
226,maceio,0,BR,1531425600,73,-9.67,-35.74,77.0,10.29
227,port shepstone,0,ZA,1531427653,82,-30.74,30.45,66.87,10.94
228,campoverde,0,IT,1531425000,73,41.54,12.73,77.0,3.36
229,mandurah,75,AU,1531425360,93,-32.55,115.7,57.2,16.11
230,vega de alatorre,48,MX,1531427653,84,20.03,-96.65,79.2,4.5
231,sevierville,40,US,1531425180,49,35.87,-83.56,91.4,3.36
232,taybad,0,IR,1531427654,22,34.74,60.78,79.02,14.63
233,airai,8,TL,1531427654,87,-8.93,125.41,60.3,2.04
234,kattivakkam,75,IN,1531425600,78,13.22,80.32,82.4,3.36
235,warren,40,US,1531426740,35,42.48,-83.03,84.2,4.7
236,vestmannaeyjar,92,IS,1531427654,100,63.44,-20.27,50.22,5.39
237,touros,80,BR,1531427655,97,-5.2,-35.46,75.51,14.29
238,bowen,0,AU,1531422000,100,-20.01,148.25,51.8,4.7
239,jashpurnagar,92,IN,1531427655,100,22.88,84.14,73.8,3.6
